# corpus-wide term-usage Pareto over all 32 class corpora (14M text)
# generated by scripts/term-pareto.sh products/*/*/

RANK  COUNT    CUM%    TERM
464   119      88.5    software quality assurance
465   117      88.5    source code
466   117      88.5    ordinary differential equation
467   117      88.6    denotational semantics
468   116      88.6    winning region
469   116      88.6    return address
470   116      88.6    equals
471   115      88.7    translation lookaside buffer
472   115      88.7    deadlock
473   115      88.7    circuit
474   115      88.8    binary search tree
475   114      88.8    bounded
476   113      88.8    helper function
477   110      88.8    relational algebra
478   110      88.9    free variable
479   110      88.9    dpll
480   110      88.9    bound variable
481   109      89.0    generator
482   109      89.0    conjunctive normal form
483   109      89.0    cardinality
484   108      89.0    traversal
485   108      89.1    packet
486   107      89.1    tlb
487   107      89.1    program analysis
488   107      89.2    namespace
489   107      89.2    file i/o
490   107      89.2    divides
491   107      89.2    abort
492   106      89.3    tail recursion
493   106      89.3    static semantics
494   106      89.3    schema
495   106      89.3    probability density function
496   106      89.4    heuristic
497   106      89.4    combinator
498   105      89.4    simulation
499   105      89.5    interference
500   105      89.5    decidable
501   105      89.5    code motion
502   104      89.5    machine learning
503   104      89.6    hybrid program
504   104      89.6    differential weakening
505   104      89.6    concurrent logical framework
506   103      89.6    exponential
507   102      89.7    live range
508   102      89.7    alphabet
509   101      89.7    constant propagation
510   101      89.8    booleans
511   100      89.8    worklist
512   100      89.8    splitting
513   100      89.8    cond
514   100      89.9    boolean abstraction and refinement
515   99       89.9    payload
516   99       89.9    object-oriented programming
517   99       89.9    initialization
518   99       90.0    dynamic analysis
519   98       90.0    induction variable
520   98       90.0    higher-order function
521   98       90.0    existential
522   98       90.1    estimation
523   97       90.1    modeling
524   97       90.1    code optimization
525   96       90.1    sending
526   96       90.2    iterator
527   96       90.2    data types
528   96       90.2    blocking
529   95       90.2    type checking
530   95       90.3    true negative
531   95       90.3    operating system
532   95       90.3    interrupt
533   95       90.3    consistency
534   94       90.4    listnode
535   93       90.4    test case
536   93       90.4    preservation
537   92       90.4    unit resolution
538   92       90.5    subclass
539   92       90.5    inductive definition
540   91       90.5    vpn
541   91       90.5    minimal
542   91       90.5    dominance
543   91       90.6    casting
544   90       90.6    hoare triple
545   90       90.6    esc/java
546   90       90.6    depth-first search
547   89       90.7    truth table
548   89       90.7    synchronization
549   89       90.7    outer join
550   89       90.7    contraction
551   88       90.8    recursive case
552   88       90.8    inverse
553   88       90.8    immutable
554   87       90.8    loop body
555   87       90.8    intersection
556   87       90.9    call-by-value
557   86       90.9    pivot
558   86       90.9    hash table
559   86       90.9    hashing
560   85       91.0    verification condition
561   85       91.0    rule induction
562   85       91.0    leaq
563   85       91.0    free list
564   85       91.0    first-order logic of real arithmetic
565   84       91.1    spilling
566   84       91.1    smart pointer
567   84       91.1    shared library
568   84       91.1    principal
569   84       91.2    bounded model checking
570   84       91.2    back edge
571   83       91.2    red-black tree
572   83       91.2    prompt
573   83       91.2    increment
574   83       91.3    hypothetical
575   82       91.3    temporary
576   82       91.3    reaching definitions
577   82       91.3    exchange
578   82       91.3    domain of discourse
579   82       91.4    backtracking
580   81       91.4    shell
581   81       91.4    junit
582   81       91.4    hash function
583   80       91.4    introduction rule
584   80       91.5    identity expansion
585   80       91.5    entity
586   80       91.5    complement
587   79       91.5    program point
588   79       91.6    aliasing
589   78       91.6    substructural logic
590   78       91.6    structural logic
591   78       91.6    query optimization
592   78       91.6    logical framework
593   78       91.7    counterexample
594   78       91.7    bijection
595   77       91.7    visitor
596   77       91.7    tostring
597   77       91.7    system t
598   77       91.8    satisfiability modulo theories
599   77       91.8    buildheap
600   76       91.8    type variable
601   75       91.8    tcp
602   75       91.8    free variables
603   75       91.9    conflict-driven clause learning
604   75       91.9    concatenation
605   75       91.9    accuracy
606   74       91.9    transition system
607   74       91.9    lisp
608   74       91.9    linear temporal logic
609   74       92.0    ip address
610   74       92.0    decomposition
611   74       92.0    capacity
612   74       92.0    auxiliary
613   73       92.0    resolution
614   73       92.1    encapsulation
615   73       92.1    associativity
616   72       92.1    rename
617   72       92.1    memory hierarchy
618   72       92.1    harmony
619   72       92.2    congruence closure
620   71       92.2    zero analysis
621   71       92.2    staging
622   71       92.2    region-based analysis
623   71       92.2    posix
624   71       92.2    generalization
625   71       92.3    forwarding
626   71       92.3    false positive
627   71       92.3    2d list
628   70       92.3    encryption
629   70       92.3    dataflow analysis
630   70       92.4    data dependence
631   68       92.4    subtype
632   68       92.4    register coalescing
633   68       92.4    pattern matching
634   68       92.4    parse tree
635   68       92.4    object file
636   68       92.5    collision
637   68       92.5    code review
638   68       92.5    automaton
639   67       92.5    weakest precondition
640   67       92.5    turing machine
641   67       92.5    parametricity
642   67       92.6    imp
643   66       92.6    stl
644   66       92.6    logical connective
645   66       92.6    interleaving
646   65       92.6    pending
647   65       92.7    indexing
648   65       92.7    directed acyclic graph
